datetime,CODNEG,adj_close
2015-04-30,EZTC3,13.3058
2015-05-04,EZTC3,13.2506
2015-05-05,EZTC3,12.3934
2015-05-06,EZTC3,12.3567
2015-05-07,EZTC3,12.0114
2015-05-08,EZTC3,12.8562
2015-05-11,EZTC3,12.9591
2015-05-12,EZTC3,12.5403
2015-05-13,EZTC3,12.6946
2015-05-14,EZTC3,12.7607
2015-05-15,EZTC3,13.1501
2015-05-18,EZTC3,12.8415
2015-05-19,EZTC3,12.5256
2015-05-20,EZTC3,12.6432
2015-05-21,EZTC3,13.0325
2015-05-22,EZTC3,12.7093
2015-05-25,EZTC3,12.4154
2015-05-26,EZTC3,11.8644
2015-05-27,EZTC3,12.1583
2015-05-28,EZTC3,12.0260
2015-05-29,EZTC3,12.1730
2015-06-01,EZTC3,12.0334
2015-06-02,EZTC3,11.9746
2015-06-03,EZTC3,11.9012
2015-06-05,EZTC3,11.8057
2015-06-08,EZTC3,11.8204
2015-06-09,EZTC3,11.8130
2015-06-10,EZTC3,11.7542
2015-06-11,EZTC3,11.6734
2015-06-12,EZTC3,11.4163
2015-06-15,EZTC3,11.3355
2015-06-16,EZTC3,11.1666
2015-06-17,EZTC3,11.4090
2015-06-18,EZTC3,11.3502
2015-06-19,EZTC3,11.4825
2015-06-22,EZTC3,11.5339
2015-06-23,EZTC3,11.3869
2015-06-24,EZTC3,11.4384
2015-06-25,EZTC3,10.9682
2015-06-26,EZTC3,10.8947
2015-06-29,EZTC3,10.7625
2015-06-30,EZTC3,10.6376
2015-07-01,EZTC3,10.9608
2015-07-02,EZTC3,10.7258
2015-07-03,EZTC3,10.6229
2015-07-06,EZTC3,10.4025
2015-07-07,EZTC3,10.3952
2015-07-08,EZTC3,10.6082
2015-07-10,EZTC3,10.6156
2015-07-13,EZTC3,10.5935
2015-07-14,EZTC3,10.6523
2015-07-15,EZTC3,10.7258
2015-07-16,EZTC3,10.9608
2015-07-17,EZTC3,10.6597
2015-07-20,EZTC3,10.5715
2015-07-21,EZTC3,10.4833
2015-07-22,EZTC3,10.3805
2015-07-23,EZTC3,9.9985
2015-07-24,EZTC3,9.8222
2015-07-27,EZTC3,9.7340
2015-07-28,EZTC3,9.7780
2015-07-29,EZTC3,10.0719
2015-07-30,EZTC3,9.8736
2015-07-31,EZTC3,10.2776
2015-08-03,EZTC3,10.2849
2015-08-04,EZTC3,9.9544
2015-08-05,EZTC3,9.8295
2015-08-06,EZTC3,9.6899
2015-08-07,EZTC3,9.4915
2015-08-10,EZTC3,9.5209
2015-08-11,EZTC3,9.6899
2015-08-12,EZTC3,9.3887
2015-08-13,EZTC3,9.5503
2015-08-14,EZTC3,9.6973
2015-08-17,EZTC3,9.8001
2015-08-18,EZTC3,9.8148
2015-08-19,EZTC3,9.7780
2015-08-20,EZTC3,9.8736
2015-08-21,EZTC3,9.6164
2015-08-24,EZTC3,9.4034
2015-08-25,EZTC3,9.6458
2015-08-26,EZTC3,9.8589
2015-08-27,EZTC3,10.1013
2015-08-28,EZTC3,10.0499
2015-08-31,EZTC3,9.6826
2015-09-01,EZTC3,9.1096
2015-09-02,EZTC3,9.0434
2015-09-03,EZTC3,9.3373
2015-09-04,EZTC3,9.1169
2015-09-08,EZTC3,8.9846
2015-09-09,EZTC3,9.0288
2015-09-10,EZTC3,8.8524
2015-09-11,EZTC3,9.0434
2015-09-14,EZTC3,8.9626
2015-09-15,EZTC3,9.0948
2015-09-16,EZTC3,9.6164
2015-09-17,EZTC3,9.8368
2015-09-18,EZTC3,9.4401
2015-09-21,EZTC3,9.0728
2015-09-22,EZTC3,8.9038
2015-09-23,EZTC3,8.9626
2015-09-24,EZTC3,8.8303
2015-09-25,EZTC3,8.8377
2015-09-28,EZTC3,8.4704
2015-09-29,EZTC3,8.6321
2015-09-30,EZTC3,8.4924
2015-10-01,EZTC3,9.1389
2015-10-02,EZTC3,9.2197
2015-10-05,EZTC3,9.7120
2015-10-06,EZTC3,9.6605
2015-10-07,EZTC3,9.8736
2015-10-08,EZTC3,9.9690
2015-10-09,EZTC3,10.2482
2015-10-13,EZTC3,10.1748
2015-10-14,EZTC3,9.8074
2015-10-15,EZTC3,9.9985
2015-10-16,EZTC3,9.6973
2015-10-19,EZTC3,9.5503
2015-10-20,EZTC3,9.6532
2015-10-21,EZTC3,9.5283
2015-10-22,EZTC3,9.6973
2015-10-23,EZTC3,9.5503
2015-10-26,EZTC3,9.4034
2015-10-27,EZTC3,9.6605
2015-10-28,EZTC3,9.8882
2015-10-29,EZTC3,9.5063
2015-10-30,EZTC3,9.3299
2015-11-03,EZTC3,9.6973
2015-11-04,EZTC3,9.6532
2015-11-05,EZTC3,9.5871
2015-11-06,EZTC3,9.2785
2015-11-09,EZTC3,9.1904
